ano,id_municipio,area,desmatado,incremento,floresta,nuvem,nao_observado,nao_floresta,hidrografia,percentual_desmatado
2000,1501576,2827,1526.7,0.0,1190.3,0.0,0.8,70.0,39.2,54.004244782454904
2000,1501600,590,391.4,0.0,0.0,0.0,590.9,0.0,0.0,66.33898305084746
2000,1501709,2107,1672.7,0.0,339.7,0.5,0.3,37.6,56.2,79.38775510204081
2000,1501725,6368,987.1,0.0,5373.8,2.1,0.0,0.1,4.9,15.500942211055277
2000,1501758,1292,923.9,0.0,311.6,0.0,0.0,29.8,26.7,71.5092879256966
2000,1501782,3953,2100.2,0.0,1588.8,0.0,0.2,0.9,262.9,53.12926890968884
2000,1501808,9572,59.5,0.0,8401.7,0.0,1.7,86.2,1022.9,0.621604680317593
2000,1501907,1010,542.5,0.0,0.0,0.0,1010.1,11.8,59.3,53.71287128712871
2000,1501956,2465,937.5,0.0,1518.0,0.6,0.5,0.0,8.4,38.03245436105477
2000,1502004,3115,1.6,0.0,172.4,0.0,207.6,2267.7,465.7,0.05136436597110755
2000,1502103,3090,892.4,0.0,1091.3,0.0,0.1,657.9,448.3,28.880258899676374
2000,1502152,3156,1650.8,0.0,1399.5,0.0,0.0,105.6,0.1,52.30671736375159
2000,1502202,619,463.5,0.0,0.0,0.0,491.9,29.5,2.4,74.87883683360258
2000,1502301,2924,2214.1,0.0,0.0,0.0,812.0,2.0,1.8,75.72161422708618
2000,1502400,1034,731.0,0.0,0.0,0.0,1035.6,0.0,1.1,70.6963249516441
2000,1502509,13116,83.4,0.0,4031.0,2.3,1.5,5236.1,3761.7,0.635864592863678
2000,1502608,612,64.7,0.0,0.0,0.0,612.6,15.9,372.6,10.571895424836601
2000,1502707,5847,2581.5,0.0,1273.3,0.0,0.3,1874.8,117.1,44.15084658799384
2000,1502756,695,570.7,0.0,0.0,0.0,694.3,0.0,0.3,82.11510791366908
2000,1502764,17105,4172.5,0.0,11496.2,0.0,0.3,1436.0,0.0,24.39345220695703
2000,1502772,2375,1993.5,0.0,375.3,0.0,1.6,4.6,0.0,83.93684210526315
2000,1502806,3626,6.9,0.0,3006.3,0.0,0.8,241.4,370.6,0.19029233314947602
2000,1502855,1430,285.9,0.0,403.8,0.0,0.6,272.6,467.1,19.993006993006993
2000,1502905,675,209.6,0.0,0.0,0.0,407.5,0.9,69.0,31.051851851851854
2000,1502939,5296,2500.4,0.0,2794.5,0.0,1.1,0.0,0.0,47.21299093655589
2000,1502954,2968,2237.7,0.0,730.3,0.0,0.0,0.0,0.0,75.39420485175201
2000,1503002,11794,187.7,0.0,11337.2,0.0,0.4,87.6,181.1,1.5914871968797693
2000,1503044,3454,1612.0,0.0,618.7,0.0,0.2,1177.7,45.4,46.670526925303996
2000,1503077,1610,1249.1,0.0,360.1,0.0,0.8,0.0,0.0,77.583850931677
2000,1503093,7048,2963.9,0.0,3602.7,0.0,0.1,0.0,481.3,42.05306469920545
2000,1503101,8550,3.8,0.0,6725.7,4.6,1.5,517.1,1297.3,0.04444444444444444
2000,1503200,789,585.3,0.0,0.0,0.0,789.9,6.0,1.2,74.18250950570342
2000,1503309,2004,168.7,0.0,1310.0,0.0,0.2,203.3,321.8,8.41816367265469
2000,1503408,476,283.8,0.0,0.0,0.0,475.4,6.8,25.2,59.621848739495796
2000,1503457,5245,1886.3,0.0,3325.1,0.0,1.0,6.7,25.9,35.96377502383222
2000,1503507,1387,937.8,0.0,0.0,0.0,1366.3,17.2,3.3,67.61355443403028
2000,1503606,62095,3210.3,0.0,57610.0,0.0,3.6,460.8,810.3,5.169981479990337
2000,1503705,7901,3180.2,0.0,4602.3,0.0,1.0,5.6,111.9,40.250601189722815
2000,1503754,53397,568.8,0.0,46896.8,0.0,8.8,5213.1,709.5,1.065228383617057
2000,1503804,2013,1335.4,0.0,413.3,0.0,0.0,0.0,264.3,66.33879781420765
